TORCHFORT::WANDB: model: critic_0, step: 14, train_loss: 0.0933315
TORCHFORT::WANDB: model: critic_0, step: 14, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 14, train_loss: 0.51879
TORCHFORT::WANDB: model: actor, step: 14, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 14, train_loss: -2.45457
TORCHFORT::WANDB: model: alpha, step: 14, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 15, train_loss: 0.0884306
TORCHFORT::WANDB: model: critic_0, step: 15, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 15, train_loss: 0.495322
TORCHFORT::WANDB: model: actor, step: 15, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 15, train_loss: -2.4649
TORCHFORT::WANDB: model: alpha, step: 15, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 16, train_loss: 0.0900097
TORCHFORT::WANDB: model: critic_0, step: 16, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 16, train_loss: 0.473295
TORCHFORT::WANDB: model: actor, step: 16, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 16, train_loss: -2.4711
TORCHFORT::WANDB: model: alpha, step: 16, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 17, train_loss: 0.0909215
TORCHFORT::WANDB: model: critic_0, step: 17, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 17, train_loss: 0.464628
TORCHFORT::WANDB: model: actor, step: 17, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 17, train_loss: -2.46379
TORCHFORT::WANDB: model: alpha, step: 17, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 18, train_loss: 0.0852459
TORCHFORT::WANDB: model: critic_0, step: 18, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 18, train_loss: 0.465196
TORCHFORT::WANDB: model: actor, step: 18, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 18, train_loss: -2.47549
TORCHFORT::WANDB: model: alpha, step: 18, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 19, train_loss: 0.0878398
TORCHFORT::WANDB: model: critic_0, step: 19, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 19, train_loss: 0.487406
TORCHFORT::WANDB: model: actor, step: 19, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 19, train_loss: -2.47222
TORCHFORT::WANDB: model: alpha, step: 19, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 20, train_loss: 0.089705
TORCHFORT::WANDB: model: critic_0, step: 20, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 20, train_loss: 0.507501
TORCHFORT::WANDB: model: actor, step: 20, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 20, train_loss: -2.48009
TORCHFORT::WANDB: model: alpha, step: 20, train_lr: 0.0001
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1720.39
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1720.39
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1720.39
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1720.39
TORCHFORT::WANDB: model: critic_0, step: 21, train_loss: 0.0890716
TORCHFORT::WANDB: model: critic_0, step: 21, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 21, train_loss: 0.545649
TORCHFORT::WANDB: model: actor, step: 21, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 21, train_loss: -2.48363
TORCHFORT::WANDB: model: alpha, step: 21, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 22, train_loss: 0.086219
TORCHFORT::WANDB: model: critic_0, step: 22, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 22, train_loss: 0.552291
TORCHFORT::WANDB: model: actor, step: 22, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 22, train_loss: -2.49101
TORCHFORT::WANDB: model: alpha, step: 22, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 23, train_loss: 0.0887472
TORCHFORT::WANDB: model: critic_0, step: 23, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 23, train_loss: 0.553167
TORCHFORT::WANDB: model: actor, step: 23, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 23, train_loss: -2.4922
TORCHFORT::WANDB: model: alpha, step: 23, train_lr: 0.0001
