TORCHFORT::WANDB: model: critic_0, step: 15, train_loss: 0.210463
TORCHFORT::WANDB: model: critic_0, step: 15, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 15, train_loss: -1.18055
TORCHFORT::WANDB: model: actor, step: 15, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 15, train_loss: -2.6803
TORCHFORT::WANDB: model: alpha, step: 15, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 16, train_loss: 0.223844
TORCHFORT::WANDB: model: critic_0, step: 16, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 16, train_loss: -1.18534
TORCHFORT::WANDB: model: actor, step: 16, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 16, train_loss: -2.67449
TORCHFORT::WANDB: model: alpha, step: 16, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 17, train_loss: 0.22057
TORCHFORT::WANDB: model: critic_0, step: 17, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 17, train_loss: -1.17364
TORCHFORT::WANDB: model: actor, step: 17, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 17, train_loss: -2.68171
TORCHFORT::WANDB: model: alpha, step: 17, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 18, train_loss: 0.224651
TORCHFORT::WANDB: model: critic_0, step: 18, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 18, train_loss: -1.17098
TORCHFORT::WANDB: model: actor, step: 18, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 18, train_loss: -2.68004
TORCHFORT::WANDB: model: alpha, step: 18, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 19, train_loss: 0.218926
TORCHFORT::WANDB: model: critic_0, step: 19, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 19, train_loss: -1.14934
TORCHFORT::WANDB: model: actor, step: 19, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 19, train_loss: -2.6791
TORCHFORT::WANDB: model: alpha, step: 19, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 20, train_loss: 0.21172
TORCHFORT::WANDB: model: critic_0, step: 20, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 20, train_loss: -1.14339
TORCHFORT::WANDB: model: actor, step: 20, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 20, train_loss: -2.67826
TORCHFORT::WANDB: model: alpha, step: 20, train_lr: 0.0001
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
